State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AK,0.599916012,0.227449572,-0.37851478,1.613761305,2.061020089,4.211839734,0.966581542,0.76030085,1.07561666,0.901622921
AL,0.599916012,-4.917046334,0.376809112,8.616371889,3.794609246,2.208805772,3.317198178,2.654008731,5.102913132,3.968930567
AR,-0.786862812,-3.149536833,-0.425268007,3.215571943,2.78426142,3.429399453,5.457036304,5.202020202,5.068493151,4.321897834
AZ,-5.626073943,-11.30923001,6.344620363,13.60822684,7.203409459,5.58519944,7.817602709,7.589418778,7.390794286,4.853827088
CA,-0.250651694,-7.111982173,0.139413925,14.55961516,10.71501616,6.433710961,6.659045442,7.493514433,6.65833796,1.703317945
CO,-0.984665681,-3.872897801,2.866567188,7.099080695,7.463795024,11.05539709,10.60260368,8.822809594,6.803822731,3.827761692
CT,-0.879623217,-6.185187909,-4.68894364,1.175575423,0.998116761,0.405131668,1.222765674,2.822987181,3.646393505,1.520431871
DC,0.404515522,-0.325609929,4.245272362,9.599477135,7.921313449,5.612851691,6.623460576,7.267249727,4.541186137,0.796925831
DE,2.227564705,-0.905920704,-17.22207411,0.705903115,4.112023014,2.99971275,5.241668935,4.351545356,4.750602239,1.053332632
FL,-4.577144589,-9.572206722,0.331038136,7.958561853,10.04768952,8.538052742,9.860809834,10.56141627,8.200066788,4.378215363
GA,-4.092087787,-11.18064834,-7.005267118,6.401859286,9.11476669,6.533054143,6.750348675,7.19647942,8.792557964,6.928604391
HI,-0.401146132,-3.416917009,1.569006095,7.462492089,7.444480816,5.339465401,6.948828457,4.925696148,5.311620536,1.552076609
IA,0.603891747,-1.544401544,1.174622176,2.736137389,2.862797766,4.049104721,3.684348053,4.450408838,4.088840996,3.400416378
ID,-5.183937687,-9.648565988,-0.393951683,7.527054538,7.543711922,5.180349427,7.167771189,8.716071002,11.34398927,11.17066291
IL,-3.854695431,-10.29334577,-6.081415491,2.802164762,5.117818223,4.380796508,4.156862745,4.732254047,4.699738903,3.435788123
IN,-0.463284688,-2.008506616,-1.082802548,-0.09563277,1.383212826,3.766449856,5.239016699,6.374555459,8.00617284,6.936665231
KS,-0.546089996,-3.793833132,-1.433499425,0.715427354,2.515209972,2.812229593,4.595487067,5.976714101,4.597346498,3.910581399
KY,-0.546089996,-3.793833132,-1.433499425,0.715427354,2.515209972,2.812229593,4.595487067,5.976714101,4.597346498,3.910581399
LA,-0.678717828,-2.152050798,-1.909112532,3.365241611,3.657678781,3.528613436,3.408346078,3.300546961,3.055198389,0.009955428
MA,0.299017514,-3.982824993,-0.781902829,5.285770818,5.889550968,4.077570809,5.445508722,7.647229216,5.775771573,2.746299132
MD,-3.287073345,-7.083652828,-1.553693266,4.395916052,4.008711631,2.339647723,3.023075931,4.511602142,4.670539224,2.055945864
ME,2.87453979,-3.934458399,0.947567909,2.649131936,2.9742507,2.335485028,4.31500386,7.011805999,6.562814445,4.195229934
MI,-4.105626575,-7.288016819,0.764951321,9.225358463,10.13048059,8.484758585,7.795937906,8.279495703,7.678499045,5.533218457
MN,-1.932563698,-8.623356535,-0.321436489,7.452428579,6.583297398,4.894053315,6.354015533,7.845373393,6.462885309,4.449599325
MO,-1.333247039,-4.138302891,-1.902472527,1.601676015,1.915683415,3.008872316,4.559121311,5.073392358,6.968678877,4.910599268
MS,5.276854128,-4.818911956,-5.888960205,-2.999752087,-3.039850136,5.473277527,6.29054156,4.274368231,5.292669584,4.97725796
MT,0.366821037,-2.178598201,1.029398127,3.248093315,2.318243569,2.089590663,4.444444444,3.221966511,7.181791397,4.714779527
NC,-1.406724259,-4.686831653,-1.055946647,1.322283834,2.645785134,2.908651077,4.839682105,6.546125083,6.731320466,6.073455835
ND,1.76637832,3.648656525,2.588996764,8.990854131,7.081812944,7.187736732,4.684845396,3.250462297,0.482558377,1.468721668
NE,0.511276089,-1.673431603,0.573491929,3.339720777,2.826361641,4.823090069,4.808097849,6.061806656,6.740564793,5.059009246
NH,-0.866244045,-6.43282206,-0.815412565,3.166550751,4.073623484,3.848911362,4.127776572,6.951223617,6.804492408,4.327990876
